File,Pattern,Severity,Description,Fix,Match,Line
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base backdrop-blur-xl bg-glass-frosted border-glass-border-default shadow-lg rounded-2xl p-6 text-center min-w-40">",70
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-lg font-semibold">Frosted</span>",71
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-caption text-sm mt-1 opacity-80">Crystal clear</p>",72
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="grid grid-cols-3 gap-4">",87
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base backdrop-blur-xl bg-glass-surface-primary border-glass-border-primary shadow-lg rounded-xl p-6 text-center hover:shadow-lg transition-all">",88
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-xl font-bold mb-2">Step 1</div>",89
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-body text-sm opacity-90">Initialize</div>",90
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base backdrop-blur-xl bg-glass-surface-success border-glass-border-success shadow-lg rounded-xl p-6 text-center hover:shadow-lg transition-all">",92
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-xl font-bold mb-2">Step 2</div>",93
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-body text-sm opacity-90">Process</div>",94
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base backdrop-blur-xl bg-glass-surface-secondary border-glass-border-secondary shadow-lg rounded-xl p-6 text-center hover:shadow-lg transition-all">",96
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-xl font-bold mb-2">Step 3</div>",97
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-body text-sm opacity-90">Complete</div>",98
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="timeline-element glass-base backdrop-blur-xl bg-glass-surface-primary border-glass-border-primary shadow-lg rounded-2xl p-12 text-center">",129
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-3xl font-bold mb-4">Timeline Animation</h3>",130
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-body text-lg leading-relaxed max-w-md mx-auto">Watch this element transform through a complex animation sequence with breathtaking glassmorphism effects.</p>",131
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="mt-6 inline-flex items-center gap-2 glass-code px-4 py-2 rounded-lg">",132
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="w-2 h-2 bg-green-400 rounded-full animate-pulse"></span>",133
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="text-xs font-mono">Animation Active</span>",134
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="space-y-6">",149
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="flex justify-center">",150
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base glass-hover backdrop-blur-xl bg-glass-surface-primary border-glass-border-primary shadow-lg px-8 py-4 rounded-xl transition-all glass-button hover:shadow-lg hover:scale-110 hover:rotate-1 focus-visible:ring-2 focus-visible:ring-blue-500/50"",153
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="flex items-center gap-3">",155
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className={`w-3 h-3 rounded-full ${isPlaying ? 'bg-red-400' : 'bg-green-400'} animate-pulse`}></div>",156
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-lg font-semibold">",59
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="grid grid-cols-4 gap-4">",165
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base backdrop-blur-xl bg-glass-surface-primary border-glass-border-default shadow-lg p-8 rounded-2xl text-center hover:shadow-lg hover:scale-105 hover:-rotate-2 transition-all duration-300"",169
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="text-4xl mb-3 filter drop-shadow-lg">{emoji}</div>",171
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-caption text-xs font-medium opacity-80 uppercase tracking-wider">Item {index + 1}</div>",172
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base bg-glass-surface-primary border-glass-border-default shadow-lg rounded-2xl p-8 text-center">",30
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-2xl font-bold mb-4">GlassMotionController</h3>",32
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-body text-base leading-relaxed">",35
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="mt-6 inline-flex items-center gap-3 justify-center">",39
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base glass-hover bg-glass-frosted border-glass-border-primary shadow-lg rounded-xl px-4 py-2 transition-all">",41
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-caption text-xs opacity-80">Animated on mount</span>",46
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="flex flex-wrap gap-6">",56
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base backdrop-blur-xl bg-glass-surface-primary border-glass-border-default shadow-lg rounded-2xl p-6 text-center min-w-40">",58
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-lg font-semibold">Primary</span>",59
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-caption text-sm mt-1 opacity-80">Premium variant</p>",60
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base backdrop-blur-xl bg-glass-surface-secondary border-glass-border-secondary shadow-lg rounded-2xl p-6 text-center min-w-40">",64
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-lg font-semibold">Secondary</span>",65
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-caption text-sm mt-1 opacity-80">Elegant variant</p>",66
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base backdrop-blur-xl bg-glass-frosted border-glass-border-default shadow-lg rounded-2xl p-6 text-center min-w-40">",70
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-lg font-semibold">Frosted</span>",71
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-caption text-sm mt-1 opacity-80">Crystal clear</p>",72
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="grid grid-cols-3 gap-4">",87
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base backdrop-blur-xl bg-glass-surface-primary border-glass-border-primary shadow-lg rounded-xl p-6 text-center hover:shadow-lg transition-all">",88
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-xl font-bold mb-2">Step 1</div>",89
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-body text-sm opacity-90">Initialize</div>",90
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base backdrop-blur-xl bg-glass-surface-success border-glass-border-success shadow-lg rounded-xl p-6 text-center hover:shadow-lg transition-all">",92
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-xl font-bold mb-2">Step 2</div>",93
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-body text-sm opacity-90">Process</div>",94
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base backdrop-blur-xl bg-glass-surface-secondary border-glass-border-secondary shadow-lg rounded-xl p-6 text-center hover:shadow-lg transition-all">",96
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-xl font-bold mb-2">Step 3</div>",97
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-body text-sm opacity-90">Complete</div>",98
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="timeline-element glass-base backdrop-blur-xl bg-glass-surface-primary border-glass-border-primary shadow-lg rounded-2xl p-12 text-center">",129
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-3xl font-bold mb-4">Timeline Animation</h3>",130
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-body text-lg leading-relaxed max-w-md mx-auto">Watch this element transform through a complex animation sequence with breathtaking glassmorphism effects.</p>",131
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="mt-6 inline-flex items-center gap-2 glass-code px-4 py-2 rounded-lg">",132
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="w-2 h-2 bg-green-400 rounded-full animate-pulse"></span>",133
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="text-xs font-mono">Animation Active</span>",134
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="space-y-6">",149
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="flex justify-center">",150
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base glass-hover backdrop-blur-xl bg-glass-surface-primary border-glass-border-primary shadow-lg px-8 py-4 rounded-xl transition-all glass-button hover:shadow-lg hover:scale-110 hover:rotate-1 focus-visible:ring-2 focus-visible:ring-blue-500/50"",153
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="flex items-center gap-3">",155
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className={`w-3 h-3 rounded-full ${isPlaying ? 'bg-red-400' : 'bg-green-400'} animate-pulse`}></div>",156
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-heading text-lg font-semibold">",59
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="grid grid-cols-4 gap-4">",165
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-base backdrop-blur-xl bg-glass-surface-primary border-glass-border-default shadow-lg p-8 rounded-2xl text-center hover:shadow-lg hover:scale-105 hover:-rotate-2 transition-all duration-300"",169
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="text-4xl mb-3 filter drop-shadow-lg">{emoji}</div>",171
"src/components/animations/GlassMotionController.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="glass-caption text-xs font-medium opacity-80 uppercase tracking-wider">Item {index + 1}</div>",172
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.stories.tsx","Legacy Glass Classes","MEDIUM","Using legacy glass-base instead of glass-foundation-complete","Replace with glass-foundation-complete","glass-base",30
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className?: string;",261
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className = '', trigger = 'mount' }) => {",263
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className={className}",293
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className?: string;",261
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className = '' }) => {",307
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className={className}>",330
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className?: string;",261
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className = '' }) => {",307
"src/components/animations/GlassMotionController.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className={className}>",330
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className?: string;",261
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className = '', trigger = 'mount' }) => {",263
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className={className}",293
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className?: string;",261
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className = '' }) => {",307
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className={className}>",330
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className?: string;",261
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className = '' }) => {",307
"src/components/animations/GlassMotionController.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className={className}>",330
"src/components/backgrounds/AtmosphericBackground.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className: {",16
"src/components/backgrounds/AtmosphericBackground.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className: '',",35
"src/components/backgrounds/AtmosphericBackground.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="flex flex-wrap gap-4">",55
"src/components/backgrounds/AtmosphericBackground.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className: {",16
"src/components/backgrounds/AtmosphericBackground.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className: '',",35
"src/components/backgrounds/AtmosphericBackground.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="flex flex-wrap gap-4">",55
"src/components/backgrounds/AtmosphericBackground.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className,",149
"src/components/backgrounds/AtmosphericBackground.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className={className} style={style} {...rest}>",209
"src/components/backgrounds/AtmosphericBackground.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className,",149
"src/components/backgrounds/AtmosphericBackground.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className={className} style={style} {...rest}>",209
"src/components/backgrounds/GlassDynamicAtmosphere.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="flex flex-wrap gap-4">",36
"src/components/backgrounds/GlassDynamicAtmosphere.stories.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className="flex flex-wrap gap-4">",36
"src/components/backgrounds/GlassDynamicAtmosphere.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className?: string;",81
"src/components/backgrounds/GlassDynamicAtmosphere.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className,",418
"src/components/backgrounds/GlassDynamicAtmosphere.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className={className}",533
"src/components/backgrounds/GlassDynamicAtmosphere.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className?: string;",81
"src/components/backgrounds/GlassDynamicAtmosphere.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className,",418
"src/components/backgrounds/GlassDynamicAtmosphere.tsx","Missing Focus Visible","MEDIUM","Interactive element may be missing focus-visible","Add focus-visible:ring-2 focus-visible:ring-blue-500/50","className={className}",533
